model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.1 8b,HS-LS1-3,42,0.7381,0.5893,0.847,0.75,0.0,0.0891
Llama 3.1 8b,HS-LS1-4,54,0.8333,0.7126,0.9098,0.9,0.0,0.0786
Llama 3.1 8b,HS-LS1-5,48,0.75,0.6122,0.8508,0.8,0.0,0.051
Llama 3.1 8b,HS-LS1-6,36,0.6389,0.4758,0.7752,0.7037,0.0,0.0786
Llama 3.1 8b,HS-LS1-7,36,0.6944,0.5314,0.82,0.7917,0.0,0.0393
Llama 3.1 8b,HS-LS2-1,45,0.8667,0.7382,0.9374,0.9444,0.0,0.0943
Llama 3.1 8b,HS-LS2-2,27,0.8519,0.6752,0.9408,0.7778,0.0,0.0524
Llama 3.1 8b,HS-LS2-3,24,0.7917,0.5953,0.9076,0.8333,0.0,0.0589
Llama 3.1 8b,HS-LS2-4,33,0.8485,0.6908,0.9335,0.8958,0.0,0.1134
Llama 3.1 8b,HS-LS2-5,33,0.6667,0.4961,0.8025,0.8333,0.0,0.0857
Llama 3.1 8b,HS-LS2-6,39,0.9231,0.7968,0.9735,0.8542,0.0,0.0628
Llama 3.1 8b,HS-LS2-7,30,0.9333,0.7868,0.9815,0.9583,0.0,0.0471
Llama 3.1 8b,HS-LS2-8,33,0.8182,0.6561,0.9139,0.9048,0.0,0.0
Llama 3.1 8b,HS-LS3-1,93,0.7742,0.6793,0.8473,0.8561,0.0,0.0263
Llama 3.1 8b,HS-LS3-2,96,0.6771,0.5783,0.7622,0.7955,0.0,0.078
Llama 3.1 8b,HS-LS3-3,93,0.6882,0.5881,0.7733,0.713,0.0,0.0402
Llama 3.1 8b,HS-LS4-1,72,0.8472,0.7468,0.9125,0.8854,0.0,0.052
Llama 3.1 8b,HS-LS4-2,54,0.7593,0.6305,0.8536,0.9028,0.0,0.0262
Llama 3.1 8b,HS-LS4-3,51,0.6078,0.4709,0.7297,0.7179,0.0,0.0277
Llama 3.1 8b,HS-LS4-4,57,0.8772,0.7675,0.9392,0.9444,0.0,0.0656
Llama 3.1 8b,HS-LS4-5,48,0.8333,0.7042,0.913,0.9091,0.0,0.0295
Llama 3.1 8b,HS-LS4-6,3,1.0,0.4385,1.0,,0.0,0.0
Llama 3.1 8b,HS-PS1-1,45,0.8444,0.7122,0.9225,0.85,0.0,0.137
Llama 3.1 8b,HS-PS1-2,36,0.7222,0.5601,0.8415,0.8125,0.0,0.0393
Llama 3.1 8b,HS-PS1-3,39,0.641,0.4842,0.7726,0.7593,0.0,0.1307
Llama 3.1 8b,HS-PS1-4,36,0.3611,0.2248,0.5242,0.4375,0.0,0.0393
Llama 3.1 8b,HS-PS1-5,36,0.8056,0.6497,0.9025,0.8958,0.0,0.1039
