model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Mistral Small 3.1,HS-ESS2,recall,93,0.957,0.8946,0.9831,,0.0,0.0608
Mistral Small 3.1,HS-ESS3,applied,102,0.9118,0.8408,0.9529,0.9412,0.0,0.024
Mistral Small 3.1,HS-ESS3,conceptual,96,0.9792,0.9272,0.9943,0.9844,0.0,0.0295
Mistral Small 3.1,HS-ESS3,recall,96,0.9792,0.9272,0.9943,,0.0,0.0147
Mistral Small 3.1,HS-ETS1,applied,102,0.8922,0.8171,0.9387,0.9314,0.0,0.0139
Mistral Small 3.1,HS-ETS1,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Mistral Small 3.1,HS-ETS1,recall,93,0.9785,0.9249,0.9941,,0.0,0.0304
Mistral Small 3.1,HS-LS1,applied,99,0.8788,0.8,0.9293,0.9141,0.0,0.0247
Mistral Small 3.1,HS-LS1,conceptual,99,0.9293,0.8612,0.9653,0.9495,0.0,0.0143
Mistral Small 3.1,HS-LS1,recall,96,0.8958,0.8188,0.9424,,0.0,0.0295
Mistral Small 3.1,HS-LS2,applied,84,0.869,0.7805,0.9253,0.9107,0.0,0.0673
Mistral Small 3.1,HS-LS2,conceptual,87,0.9655,0.9035,0.9882,0.977,0.0,0.0282
Mistral Small 3.1,HS-LS2,recall,93,0.8817,0.8005,0.9327,,0.0,0.0663
Mistral Small 3.1,HS-LS3,applied,93,0.9247,0.8527,0.9631,0.9409,0.0,0.0152
Mistral Small 3.1,HS-LS3,conceptual,93,0.914,0.8393,0.9558,0.9462,0.0,0.0548
Mistral Small 3.1,HS-LS3,recall,96,0.9583,0.8977,0.9837,,0.0,0.0295
Mistral Small 3.1,HS-LS4,applied,96,0.9167,0.8441,0.9572,0.9479,0.0,0.039
Mistral Small 3.1,HS-LS4,conceptual,96,0.9375,0.8703,0.971,0.9635,0.0,0.0442
Mistral Small 3.1,HS-LS4,recall,93,0.8817,0.8005,0.9327,,0.0,0.0152
Mistral Small 3.1,HS-PS1,applied,99,0.8889,0.8119,0.9368,0.9242,0.0,0.0378
Mistral Small 3.1,HS-PS1,conceptual,99,0.9697,0.9147,0.9896,0.9798,0.0,0.0247
Mistral Small 3.1,HS-PS1,recall,99,0.8788,0.8,0.9293,,0.0,0.0247
Mistral Small 3.1,HS-PS2,applied,102,0.9706,0.9171,0.9899,0.9853,0.0,0.0
Mistral Small 3.1,HS-PS2,conceptual,99,0.9495,0.8872,0.9782,0.9697,0.0,0.0143
Mistral Small 3.1,HS-PS2,recall,96,0.9167,0.8441,0.9572,,0.0,0.0589
Mistral Small 3.1,HS-PS3,applied,96,0.8333,0.7463,0.8947,0.901,0.0,0.0589
Mistral Small 3.1,HS-PS3,conceptual,90,0.8556,0.7684,0.9136,0.9278,0.0,0.0416
Mistral Small 3.1,HS-PS3,recall,93,0.9677,0.9094,0.989,,0.0,0.0263
Mistral Small 3.1,HS-PS4,applied,102,0.9216,0.8528,0.9597,0.9412,0.0,0.0367
Mistral Small 3.1,HS-PS4,conceptual,96,0.9062,0.8313,0.9499,0.9531,0.0,0.0255
Mistral Small 3.1,HS-PS4,recall,96,0.9688,0.9121,0.9893,,0.0,0.0442
Nemotron 3 Nano 30ba3,HS-ESS1,applied,96,0.9167,0.8441,0.9572,0.9583,0.0,0.039
Nemotron 3 Nano 30ba3,HS-ESS1,conceptual,96,0.9479,0.8838,0.9776,0.9688,0.0,0.039
Nemotron 3 Nano 30ba3,HS-ESS1,recall,93,0.957,0.8946,0.9831,,0.0,0.0152
Nemotron 3 Nano 30ba3,HS-ESS2,applied,96,0.9583,0.8977,0.9837,0.9792,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-ESS2,conceptual,99,0.9596,0.9007,0.9842,0.9798,0.0,0.0143
Nemotron 3 Nano 30ba3,HS-ESS2,recall,93,0.957,0.8946,0.9831,,0.0,0.0152
Nemotron 3 Nano 30ba3,HS-ESS3,applied,102,0.9608,0.9035,0.9846,0.9706,0.0,0.0139
Nemotron 3 Nano 30ba3,HS-ESS3,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ESS3,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
Nemotron 3 Nano 30ba3,HS-ETS1,applied,102,0.9608,0.9035,0.9846,0.9755,0.0,0.0139
Nemotron 3 Nano 30ba3,HS-ETS1,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Nemotron 3 Nano 30ba3,HS-ETS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
Nemotron 3 Nano 30ba3,HS-LS1,applied,99,0.9798,0.9293,0.9944,0.9848,0.0,0.0286
